game_id,season,week,home_team,away_team,Spread Prediction,home_team_spread_line,edge_spread,Spread Bet,Total Prediction,total_line,edge_total,Total Bet,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401757278,2025,7,Middle Tennessee,Missouri State,0.1772345756868869,3.0,3.177234575686887,Home,61.952886330864175,51.5,10.452886330864176,Over,401757278,20.0,22.0,Win,Loss,-2.0,42.0
401757277,2025,7,UTEP,Liberty,-0.4375202026183045,2.0,1.5624797973816955,Home,60.02294314970678,46.5,13.522943149706776,Over,401757277,8.0,19.0,Loss,Loss,-11.0,27.0
401757280,2025,7,Kennesaw State,Louisiana Tech,-8.35183013961762,4.5,-3.85183013961762,Away,41.78499892556811,46.5,-4.715001074431889,No Bet,401757280,35.0,7.0,Loss,No Bet,28.0,42.0
401762480,2025,7,Tulane,East Carolina,-5.4575201866745875,-7.0,-12.457520186674587,Away,46.81030286670056,53.5,-6.68969713329944,Under,401762480,26.0,19.0,Push,Win,7.0,45.0
401757279,2025,7,Sam Houston,Jacksonville State,-14.493315119805557,7.0,-7.493315119805555,Away,57.45337822661975,54.0,3.4533782266197477,No Bet,401757279,27.0,29.0,Loss,No Bet,-2.0,56.0
401761622,2025,7,Georgia Southern,Southern Miss,-6.095935834281468,3.0,-3.095935834281468,Away,56.115656850095874,60.0,-3.884343149904126,No Bet,401761622,35.0,38.0,Push,No Bet,-3.0,73.0
401762481,2025,7,North Texas,South Florida,8.839791229462584,-2.5,6.339791229462584,Home,53.19401564812319,68.5,-15.305984351876807,Under,401762481,36.0,63.0,Loss,Loss,-27.0,99.0
401752862,2025,7,Washington,Rutgers,10.838469015697015,-9.5,1.3384690156970152,Home,70.41436820067025,62.0,8.414368200670253,Over,401752862,38.0,19.0,Win,Loss,19.0,57.0
401760388,2025,7,Colorado State,Fresno State,-8.754542189009193,6.0,-2.754542189009193,Away,57.85132369718834,47.5,10.351323697188342,Over,401760388,49.0,21.0,Loss,Win,28.0,70.0
401752734,2025,7,Missouri,Alabama,0.7699600847636896,3.0,3.7699600847636896,Home,55.28759491973849,52.0,3.2875949197384884,No Bet,401752734,24.0,27.0,Push,No Bet,-3.0,51.0
401752863,2025,7,Michigan State,UCLA,13.45422225615277,-7.0,6.45422225615277,Home,64.24794297588943,52.0,12.24794297588943,Over,401752863,13.0,38.0,Loss,Loss,-25.0,51.0
401752865,2025,7,Illinois,Ohio State,-7.704099814557733,15.0,7.295900185442267,Home,58.48238531290544,51.0,7.482385312905436,Over,401752865,16.0,34.0,Loss,Loss,-18.0,50.0
401754559,2025,7,Florida State,Pittsburgh,15.68477632714768,-10.5,5.184776327147681,Home,51.228666024299855,57.0,-5.771333975700145,Under,401754559,31.0,34.0,Loss,Loss,-3.0,65.0
401754561,2025,7,SMU,Stanford,11.87927212150498,-19.5,-7.620727878495019,Away,49.19738338249312,55.5,-6.302616617506878,Under,401754561,34.0,10.0,Loss,Win,24.0,44.0
401756917,2025,7,Cincinnati,UCF,11.677809469066275,-10.5,1.1778094690662757,Home,59.931278961434046,55.5,4.431278961434046,No Bet,401756917,20.0,11.0,Loss,No Bet,9.0,31.0
401756920,2025,7,Oklahoma State,Houston,-11.774184447218564,14.5,2.7258155527814374,Home,48.57573067905912,48.0,0.5757306790591201,No Bet,401756920,17.0,39.0,Loss,No Bet,-22.0,56.0
401761625,2025,7,James Madison,Louisiana,17.489513541323433,-18.5,-1.0104864586765672,Away,47.14834378630374,45.0,2.148343786303741,No Bet,401761625,24.0,14.0,Win,No Bet,10.0,38.0
401762483,2025,7,Army,Charlotte,16.799796386346507,-17.5,-0.7002036136534926,Away,51.902345516368854,45.5,6.402345516368854,Over,401762483,24.0,7.0,Win,Loss,17.0,31.0
401762833,2025,7,Akron,Miami (OH),-11.09580864108507,12.0,0.9041913589149306,Home,54.21337414644571,47.5,6.713374146445709,Over,401762833,7.0,20.0,Loss,Loss,-13.0,27.0
401762835,2025,7,Bowling Green,Toledo,-13.402718047260166,11.0,-2.4027180472601657,Away,50.17711577186154,46.0,4.177115771861537,No Bet,401762835,28.0,23.0,Loss,No Bet,5.0,51.0
