,rating,hdi_lower,hdi_upper
Clemson,-0.48762775262087676,-14.442581055665755,10.883236161131727
Colorado,-0.4879731051968896,-14.525804138229502,10.923011821108389
Coastal Carolina,-0.49156234590123454,-14.472120447744507,10.949577460701292
Cincinnati,-0.4976500424291529,-14.53420276780289,10.928093379003387
Colorado State,-0.4991282548977045,-14.601490697196033,11.068237747695617
Charlotte,-0.5019219344860462,-14.477608279280878,10.854860399421282
Central Michigan,-0.5031797453401778,-14.39019427670572,10.717789644970404
California,-0.5039513145431179,-14.312740187008282,10.767743173193328
Arizona,-0.5063388154727263,-14.312079745553346,10.400396307738697
Air Force,-0.5065290080690577,-14.238502223156036,10.034754048601517
Duke,-0.5070861933148535,-14.572953591130135,10.55278339924488
Akron,-0.5090598885203014,-14.331033124290615,10.248736009292307
Ball State,-0.5111298246364682,-14.251490547793773,10.66414580806259
Florida Atlantic,-0.5126022315923229,-14.297963748399644,10.692365782809942
East Carolina,-0.5140731236501285,-14.364278940677819,10.75981073493965
Arizona State,-0.5143326526990281,-14.5034304705481,10.17175564603334
Bowling Green,-0.5144596662095291,-14.33635825053404,11.143200541448696
Alabama,-0.5169153961642426,-14.187617303404702,10.228847432902215
Boston College,-0.5170670842797735,-14.338445158569277,10.90773196403424
BYU,-0.5171544277085658,-14.198777478965624,10.476575435807312
Buffalo,-0.5178542684986146,-14.365276821709854,11.04003017579252
Auburn,-0.5180557419359055,-14.34892938180935,10.35261070354696
Army,-0.5184626282729636,-14.409772728723917,10.373285621739287
Arkansas State,-0.5208195171220203,-14.252766544014994,10.301403425427154
App State,-0.5211325795221456,-14.274171132628318,10.095095655740236
Florida,-0.5226950377799544,-14.269924457940707,10.787723129470864
Baylor,-0.5229396545018832,-14.242248167590974,10.56551489490927
Eastern Michigan,-0.5229545705310806,-14.3421212108219,10.539002988519204
Arkansas,-0.5270982886867124,-14.26485060114951,10.325891702672783
Boise State,-0.5286196080434081,-14.226231850678522,10.944999670594285
Florida International,-0.5342415063055626,-14.23089971090149,10.788153146557239
Florida State,-0.5496741336071224,-14.330004828772552,10.837819696823823
Fresno State,-0.5604231450165597,-14.235308427061273,11.049134570414633
