week,team,rating
1,Air Force,-0.009520277268315107
1,Akron,-0.009501419621747715
1,Alabama,-0.004996573638501997
1,App State,0.00234079517512353
1,Arizona,0.00513873795847598
1,Arizona State,0.0005536044273226589
1,Arkansas,0.005396229583061455
1,Arkansas State,-0.006629020045626865
1,Army,-0.014654986759191961
1,Auburn,-0.014262951774834038
1,BYU,-0.021762128448498577
1,Ball State,-0.022832127334382942
1,Baylor,-0.033902542016164855
1,Boise State,-0.04248374690002417
1,Boston College,-0.054271772791036815
1,Bowling Green,-0.0619086473586272
1,Buffalo,-0.07407959187231812
1,California,-0.08004979987060555
1,Central Michigan,-0.08319559538408502
1,Charlotte,-0.08769374705378023
1,Cincinnati,-0.0936572885167355
1,Clemson,-0.11375897019748828
1,Coastal Carolina,-0.1172216081666041
1,Colorado,-0.12563267408749082
1,Colorado State,-0.13501419220890634
1,Duke,-0.14761580267632995
1,East Carolina,-0.16627505114147914
1,Eastern Michigan,-0.17416101086933342
1,Florida,-0.18524514430419056
1,Florida Atlantic,-0.1998373271872922
1,Florida International,-0.1975308462956786
1,Florida State,-0.206202463555096
1,Fresno State,-0.20946018141726852
1,Georgia,-0.22139787906272884
1,Georgia Southern,-0.2258491916422355
1,Georgia State,-0.2400867201049884
1,Georgia Tech,-0.24967197745713668
1,Hawai'i,-0.2511663451486504
1,Houston,-0.2580911918836015
1,Illinois,-0.2614906034141276
1,Indiana,-0.250274266349398
1,Iowa,-0.24300409429348482
1,Iowa State,-0.25198824488584043
1,Kansas,-0.25656169045885113
1,Kansas State,-0.2602182786283071
1,Kent State,-0.26195417700053286
1,Kentucky,-0.2573332560439475
1,LSU,-0.2631119832332299
1,Liberty,-0.2659304521881469
1,Louisiana,-0.2678823046012567
1,Louisiana Tech,-0.26135906753349397
1,Louisville,-0.25918779097906897
1,Marshall,-0.2539147185275105
1,Maryland,-0.2614313992968686
1,Massachusetts,-0.26390823941135905
1,Memphis,-0.2678899116236784
1,Miami,-0.27066740344092893
1,Miami (OH),-0.2648550161749049
1,Michigan,-0.25361360062637694
1,Michigan State,-0.25149656914786606
1,Middle Tennessee,-0.2474287373387122
1,Minnesota,-0.2430540097294829
1,Mississippi State,-0.24370052834969794
1,Missouri,-0.23589608015662758
1,NC State,-0.22897487276655895
1,Navy,-0.22731409715308443
1,Nebraska,-0.2185852339815951
1,Nevada,-0.21688663948151748
1,New Mexico,-0.2035097026700903
1,New Mexico State,-0.20439849222736522
1,North Carolina,-0.19619296324576851
1,North Texas,-0.19403948239430618
1,Northern Illinois,-0.18579977659798225
1,Northwestern,-0.17119007606332212
1,Notre Dame,-0.16948437227079255
1,Ohio,-0.16544976309250975
1,Ohio State,-0.16412391933080567
1,Oklahoma,-0.1478042076119099
1,Oklahoma State,-0.13649223786469133
1,Old Dominion,-0.12631241064289717
1,Ole Miss,-0.11178999632489992
1,Oregon,-0.09635365652201755
1,Oregon State,-0.08625188111040923
1,Penn State,-0.07607182218480985
1,Pittsburgh,-0.0715787507868051
1,Purdue,-0.06992333460254906
1,Rice,-0.0691735908357625
1,Rutgers,-0.06595362596301854
1,SMU,-0.06664946692616291
1,San Diego State,-0.06203534919785457
1,San José State,-0.060484605164494575
1,South Alabama,-0.054040251552466605
1,South Carolina,-0.05160109523881113
1,South Florida,-0.057712842108206895
1,Southern Miss,-0.059189398744727464
1,Stanford,-0.050361192341092056
1,Syracuse,-0.04035444976078763
1,TCU,-0.038637441215021495
1,Temple,-0.03463116057318363
1,Tennessee,-0.024376278268850363
1,Texas,-0.015222950101750066
1,Texas A&M,-0.016044291748039886
1,Texas State,-0.018253309560650344
1,Texas Tech,-0.01801901298499024
1,Toledo,-0.017548210536803464
1,Troy,-0.010510487870506948
1,Tulane,-0.012275216834883808
1,Tulsa,-0.013955263716025424
1,UAB,-0.007425271118761837
1,UCF,-0.0049354916229091975
1,UCLA,-0.002224606866496859
1,UConn,-0.005393854678281089
1,UL Monroe,-0.006240148932793987
1,UNLV,-0.000873119592273157
1,USC,0.006540053990694231
1,UTEP,0.009623097675166609
1,UTSA,0.0057607107568530885
1,Utah,0.005072932012745768
1,Utah State,0.0008077388809217605
1,Vanderbilt,0.0034641977912822928
1,Virginia,0.0046301524062938425
1,Virginia Tech,0.0031869234553176706
1,Wake Forest,0.00731704593794991
1,Washington,0.0003925550872759149
1,Washington State,-0.004866483755673294
1,West Virginia,-0.0020282935914045326
1,Western Kentucky,-0.011238473360936273
1,Western Michigan,-0.017388125279339618
1,Wisconsin,-0.02784400937801263
1,Wyoming,-0.01774411979615726
2,Air Force,-0.002110284527205451
2,Akron,-0.0018567001342347951
2,Alabama,0.006478985583328127
2,App State,0.008857411383833272
2,Arizona,0.015228801944481283
2,Arizona State,0.01485398782789709
2,Arkansas,0.01885160873903149
2,Arkansas State,0.022359605580534903
2,Army,0.029626356144377666
2,Auburn,0.03320331686322589
2,BYU,0.035667713244511685
2,Ball State,0.03797947514497952
2,Baylor,0.03872803984864584
2,Boise State,0.03720487092089389
2,Boston College,0.031516170507666204
2,Bowling Green,0.018498909238363188
2,Buffalo,0.011291140391979109
2,California,0.01270903409448382
2,Central Michigan,0.012322869766153547
2,Charlotte,0.010620484599007142
2,Cincinnati,0.015689162074133116
2,Clemson,0.022027640824453316
2,Coastal Carolina,0.024090751137970202
2,Colorado,0.022789352155210146
2,Colorado State,0.01320642443271039
2,Duke,0.006045063016020902
2,East Carolina,-0.00156580486368879
2,Eastern Michigan,-0.001710874255155995
2,Florida,0.0039809341406313176
2,Florida Atlantic,-0.0018023078680604906
2,Florida International,-0.013133281921409693
2,Florida State,-0.02134823733299489
2,Fresno State,-0.019185448390578577
2,Georgia,-0.013413263066677004
2,Georgia Southern,-0.017692617302255364
2,Georgia State,-0.022395556305781213
2,Georgia Tech,-0.021648285263764375
2,Hawai'i,-0.02228114845803881
2,Houston,-0.01532789981656336
2,Illinois,-0.012698163123248193
2,Indiana,-0.01632700458707251
2,Iowa,-0.012263164316913494
2,Iowa State,-0.014575577790971912
2,Kansas,-0.01699675240128976
2,Kansas State,-0.009495089737284367
2,Kent State,-0.005591083682620032
2,Kentucky,-0.0006807027760885171
2,LSU,-0.00013792733579743953
2,Liberty,-0.0061873423658211375
2,Louisiana,-0.012030060697368455
2,Louisiana Tech,-0.022719163357738076
2,Louisville,-0.030823319170155367
2,Marshall,-0.026175306724196087
2,Maryland,-0.023121255474860897
2,Massachusetts,-0.027805969864680886
2,Memphis,-0.012464325847615724
2,Miami,-0.010834548196123906
2,Miami (OH),-0.0011607053769291983
2,Michigan,-0.002093349256290135
2,Michigan State,0.0008086451619611543
2,Middle Tennessee,-0.0023623083008819912
2,Minnesota,0.007035548292306772
2,Mississippi State,0.01048196422858546
2,Missouri,0.013779583064071751
2,NC State,0.021026144487334288
2,Navy,0.018058909045888402
2,Nebraska,0.025191688296981547
2,Nevada,0.018503046734998866
2,New Mexico,0.022564062008757293
2,New Mexico State,0.029517219617636377
2,North Carolina,0.034106027923744106
2,North Texas,0.030714502814647396
2,Northern Illinois,0.03508799627848345
2,Northwestern,0.044510300404025926
2,Notre Dame,0.05458171675579331
2,Ohio,0.05658086490110487
2,Ohio State,0.06229793887810632
2,Oklahoma,0.06778387071817012
2,Oklahoma State,0.06943765024038422
2,Old Dominion,0.0710926295902014
2,Ole Miss,0.06218925136800071
2,Oregon,0.06529546746959645
2,Oregon State,0.06862868893746159
2,Penn State,0.06726425882788169
2,Pittsburgh,0.06574745693682858
2,Purdue,0.06647702648991742
2,Rice,0.048050962950462225
2,Rutgers,0.04330056347618751
2,SMU,0.03541464851562892
2,San Diego State,0.028553006041943885
2,San José State,0.012000596447214566
2,South Alabama,0.0054199904978601545
2,South Carolina,-0.005849651987564899
2,South Florida,-0.02176599110285802
2,Southern Miss,-0.036904208408272327
2,Stanford,-0.0483341855130072
2,Syracuse,-0.055790902147429176
2,TCU,-0.07253307914326095
2,Temple,-0.0853025925704216
2,Tennessee,-0.10162798442601935
2,Texas,-0.11490879440099935
2,Texas A&M,-0.12508073640013315
2,Texas State,-0.1423141313406584
2,Texas Tech,-0.1590438541820663
2,Toledo,-0.16938874450613037
2,Troy,-0.1834166801891198
2,Tulane,-0.19534082599964173
2,Tulsa,-0.20491222943142007
2,UAB,-0.214634541966672
2,UCF,-0.22746279800374997
2,UCLA,-0.23480541764729534
2,UConn,-0.2417565894337663
2,UL Monroe,-0.24287145416718792
2,UNLV,-0.24062965056326194
2,USC,-0.2505519682867757
2,UTEP,-0.2505519164985583
2,UTSA,-0.2404298445753862
2,Utah,-0.23656161861643107
2,Utah State,-0.2171041219709477
2,Vanderbilt,-0.21207621629161974
2,Virginia,-0.20733730591320448
2,Virginia Tech,-0.20606418100998927
2,Wake Forest,-0.1976467448539415
2,Washington,-0.19359996276274666
2,Washington State,-0.18814861822589402
2,West Virginia,-0.18310659524407205
2,Western Kentucky,-0.1749125331067617
2,Western Michigan,-0.1786576644799945
2,Wisconsin,-0.1717934718558356
2,Wyoming,-0.1787519268488763
3,Air Force,-0.46233642724088797
3,Akron,-0.4514564247117744
3,Alabama,-0.4447555601123457
3,App State,-0.45172021414432967
3,Arizona,-0.4540299400142625
3,Arizona State,-0.4502162856623998
3,Arkansas,-0.44476256725436886
3,Arkansas State,-0.45467963432603975
3,Army,-0.4534372020378567
3,Auburn,-0.4528275904666669
3,BYU,-0.45560901122549313
3,Ball State,-0.4592729880050074
3,Baylor,-0.45345296459638285
3,Boise State,-0.45752593391019053
3,Boston College,-0.4576148778674763
3,Bowling Green,-0.45214960496331547
3,Buffalo,-0.44840499832756764
3,California,-0.45347818156703185
3,Central Michigan,-0.45388370296556485
3,Charlotte,-0.4528138770957425
3,Cincinnati,-0.454858922510308
3,Clemson,-0.45731354436210087
3,Coastal Carolina,-0.45716145897532284
3,Colorado,-0.4490291418376012
3,Colorado State,-0.44326834280926264
3,Duke,-0.4464870656306811
3,East Carolina,-0.447663480231878
3,Eastern Michigan,-0.4501051197027188
3,Florida,-0.45786381394022474
3,Florida Atlantic,-0.46679493661360466
3,Florida International,-0.4579550738333337
3,Florida State,-0.45453398974411335
3,Fresno State,-0.44054425531841485
3,Georgia,-0.4466856462344045
3,Georgia Southern,-0.44882674350684404
3,Georgia State,-0.44252526696454214
3,Georgia Tech,-0.4345427364440471
3,Hawai'i,-0.43559159016025195
3,Houston,-0.4359262885429899
3,Illinois,-0.4286889311019278
3,Indiana,-0.4273209834474495
3,Iowa,-0.40639085297233835
3,Iowa State,-0.414279960260329
3,Kansas,-0.41228107672238284
3,Kansas State,-0.40901203403756925
3,Kent State,-0.4128903975092161
3,Kentucky,-0.404667559829181
3,LSU,-0.3969881199202935
3,Liberty,-0.39938740677172396
3,Louisiana,-0.4039065593042378
3,Louisiana Tech,-0.4090987383541373
3,Louisville,-0.40849755984505337
3,Marshall,-0.4178525180766678
3,Maryland,-0.41201540507654966
3,Massachusetts,-0.41963194470700804
3,Memphis,-0.42622876055781656
3,Miami,-0.4292233664348812
3,Miami (OH),-0.4373832245141956
3,Michigan,-0.43912616385333614
3,Michigan State,-0.43687366118962834
3,Middle Tennessee,-0.44407420006852033
3,Minnesota,-0.4594158618003385
3,Mississippi State,-0.47026179337855434
3,Missouri,-0.48283261406513384
3,NC State,-0.4933110315554484
3,Navy,-0.506256120244033
3,Nebraska,-0.520734224250219
3,Nevada,-0.5335313928607431
3,New Mexico,-0.5425339161946919
3,New Mexico State,-0.5447001474408489
3,North Carolina,-0.5462098036902615
3,North Texas,-0.551009835155142
3,Northern Illinois,-0.5594529499785754
3,Northwestern,-0.5568626965924144
3,Notre Dame,-0.5565300083551024
3,Ohio,-0.5545191812060932
3,Ohio State,-0.5515080168214078
3,Oklahoma,-0.5374402192505332
