game_id,Date,Time,Game,Home Team,Away Team,Spread Bet,home_team_spread_line,Model Spread,Spread Edge,Spread Confidence,Total Prediction,Spread Prediction,Total Bet,total_line,Model Total,Total Edge,id,home_points,away_points,Spread Bet Result,Total Bet Result,Spread Result,Total Result
401309594,11/23/2021,07:00 PM,Western Michigan @ Northern Illinois,Northern Illinois,Western Michigan,Home,7.0,3.73,3.27,High,65.31,3.73,Over,58.5,65.31,6.810000000000002,401309594,21,42,Loss,Win,-21,63
401309593,11/23/2021,07:00 PM,Buffalo @ Ball State,Ball State,Buffalo,Away,-6.0,5.69,11.69,High,60.16,5.69,No Bet,59.5,60.16,0.0,401309593,20,3,Loss,No Bet,17,23
401310757,11/25/2021,03:30 PM,Fresno State @ San José State,San José State,Fresno State,Home,7.0,-8.95,15.95,High,47.66,-8.95,Under,52.5,47.66,4.840000000000003,401310757,9,40,Loss,Win,-31,49
401282151,11/25/2021,07:30 PM,Ole Miss @ Mississippi State,Mississippi State,Ole Miss,Away,-2.0,1.08,3.08,High,61.39,1.08,Under,65.0,61.39,3.609999999999999,401282151,21,31,Win,Win,-10,52
401309596,11/26/2021,12:00 PM,Ohio @ Bowling Green,Bowling Green,Ohio,Home,6.5,2.47,4.029999999999999,High,54.62,2.47,Over,48.5,54.62,6.119999999999997,401309596,21,10,Win,Loss,11,31
401309595,11/26/2021,12:00 PM,Eastern Michigan @ Central Michigan,Central Michigan,Eastern Michigan,Away,-8.5,5.71,14.21,High,64.96,5.71,No Bet,63.5,64.96,0.0,401309595,31,10,Loss,No Bet,21,41
401310753,11/26/2021,12:00 PM,Boise State @ San Diego State,San Diego State,Boise State,Home,3.5,-2.08,5.58,High,40.63,-2.08,Under,44.5,40.63,3.8699999999999974,401310753,27,16,Win,Win,11,43
401287952,11/26/2021,12:00 PM,Kansas State @ Texas,Texas,Kansas State,Away,-3.0,4.04,7.04,High,60.58,4.04,Over,54.5,60.58,6.079999999999998,401287952,22,17,Loss,Loss,5,39
401310755,11/26/2021,01:00 PM,Utah State @ New Mexico,New Mexico,Utah State,Home,17.0,-9.04,26.04,High,51.37,-9.04,Over,48.0,51.37,3.3699999999999974,401310755,10,35,Loss,Loss,-25,45
401282761,11/26/2021,01:30 PM,Iowa @ Nebraska,Nebraska,Iowa,Away,-1.0,5.68,6.68,High,44.86,5.68,Over,41.0,44.86,3.859999999999999,401282761,21,28,Win,Win,-7,49
401282274,11/26/2021,02:00 PM,UTEP @ UAB,UAB,UTEP,Away,-13.5,13.67,27.17,High,49.83,13.67,No Bet,50.0,49.83,0.0,401282274,42,25,Loss,No Bet,17,67
401301051,11/26/2021,03:30 PM,Cincinnati @ East Carolina,East Carolina,Cincinnati,Home,14.0,-8.29,22.29,High,56.98,-8.29,No Bet,56.5,56.98,0.0,401301051,13,35,Loss,No Bet,-22,48
401301050,11/26/2021,03:30 PM,South Florida @ UCF,UCF,South Florida,Away,-17.5,17.22,34.72,High,61.81,17.22,No Bet,62.0,61.81,0.0,401301050,17,13,Win,No Bet,4,30
401310752,11/26/2021,03:30 PM,UNLV @ Air Force,Air Force,UNLV,Away,-18.0,20.38,38.379999999999995,High,52.63,20.38,Over,49.5,52.63,3.1300000000000026,401310752,48,14,Loss,Win,34,62
401309648,11/26/2021,03:30 PM,Coastal Carolina @ South Alabama,South Alabama,Coastal Carolina,Home,15.0,-9.52,24.52,High,56.13,-9.52,No Bet,55.0,56.13,0.0,401309648,21,27,Win,No Bet,-6,48
401282145,11/26/2021,03:30 PM,Missouri @ Arkansas,Arkansas,Missouri,Away,-14.5,15.66,30.16,High,66.34,15.66,No Bet,63.5,66.34,0.0,401282145,34,17,Loss,No Bet,17,51
401309906,11/26/2021,04:00 PM,Colorado @ Utah,Utah,Colorado,Away,-24.0,22.06,46.06,High,52.8,22.06,No Bet,52.0,52.8,0.0,401309906,28,13,Win,No Bet,15,41
401287949,11/26/2021,04:30 PM,TCU @ Iowa State,Iowa State,TCU,Away,-15.0,17.55,32.55,High,61.82,17.55,No Bet,61.0,61.82,0.0,401287949,48,14,Loss,No Bet,34,62
401282699,11/26/2021,07:00 PM,North Carolina @ NC State,NC State,North Carolina,Away,-6.5,13.01,19.51,High,60.78,13.01,No Bet,62.0,60.78,0.0,401282699,34,30,Win,No Bet,4,64
401309905,11/26/2021,08:00 PM,Washington State @ Washington,Washington,Washington State,Away,1.0,4.29,3.29,High,43.2,4.29,No Bet,45.0,43.2,0.0,401309905,13,40,Win,No Bet,-27,53
401282148,11/27/2021,12:00 PM,Georgia @ Georgia Tech,Georgia Tech,Georgia,Home,36.0,-28.25,64.25,High,52.36,-28.25,No Bet,55.0,52.36,0.0,401282148,0,45,Loss,No Bet,-45,45
401282147,11/27/2021,12:00 PM,Florida State @ Florida,Florida,Florida State,Away,-4.0,8.37,12.37,High,58.32,8.37,No Bet,58.5,58.32,0.0,401282147,24,21,Win,No Bet,3,45
401282700,11/27/2021,12:00 PM,Wake Forest @ Boston College,Boston College,Wake Forest,Home,6.5,-3.8,10.3,High,64.23,-3.8,No Bet,64.0,64.23,0.0,401282700,10,41,Loss,No Bet,-31,51
401301052,11/27/2021,12:00 PM,Houston @ UConn,UConn,Houston,Home,32.5,-25.61,58.11,High,58.63,-25.61,Over,54.5,58.63,4.130000000000003,401301052,17,45,Win,Win,-28,62
