season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units,pick_win,total_pick_win
2021,5,401282646,2021-09-30 19:30:00-04:00,Miami,Virginia,False,consensus,-3.5,63.5,-8.03796126000146,65.08202743880742,11.53796126000146,1.5820274388074154,none,none,3.0,3.0,away_off_eckel_rate: -5.01,away_adj_off_epa_pp: -3.52,away_adj_off_expl_rate_overall_10: -0.93,away_adj_off_epa_pp: +3.60,away_off_eckel_rate: +2.68,home_adj_off_epa_pp: -1.21,1,,
2021,5,401301012,2021-10-01 19:30:00-04:00,Tulsa,Houston,False,consensus,-3.5,54.0,14.520963171786397,59.2253113367119,11.020963171786397,5.225311336711897,none,none,3.0,3.0,home_off_eckel_rate: +4.09,home_adj_off_epa_pp: -1.59,away_off_eckel_rate: +1.37,home_adj_off_epa_pp: -2.21,away_adj_def_ypp: +0.78,away_off_eckel_rate: -0.73,1,,
2021,5,401282759,2021-10-01 20:00:00-04:00,Maryland,Iowa,False,consensus,3.0,47.5,11.116576815652545,47.517298936761925,14.116576815652545,0.0172989367619251,none,none,3.0,4.0,away_adj_def_epa_pp: -3.01,home_off_eckel_rate: +2.53,away_off_eckel_rate: +2.12,away_adj_off_epa_pp: -1.84,home_adj_def_ypp: -1.29,away_adj_def_ypp: -1.27,1,,
2021,5,401309912,2021-10-01 21:00:00-04:00,Utah State,BYU,False,consensus,8.0,65.5,8.354994997012446,68.8805216032244,16.354994997012447,3.3805216032243948,none,none,3.0,4.0,home_adj_off_epa_pp: +3.68,same_conference: +3.50,away_off_eckel_rate: -3.31,home_adj_off_epa_pp: +5.10,home_adj_def_ypp: +2.79,away_off_eckel_rate: +1.77,1,,
2021,5,401282093,2021-10-02 12:00:00-04:00,Missouri,Tennessee,False,consensus,-2.5,66.0,-0.7549342919834316,59.63569564306989,3.254934291983432,6.364304356930113,none,none,3.0,3.0,home_off_eckel_rate: +2.96,away_adj_def_epa_pp: -2.88,away_adj_off_epa_pp: -1.88,home_adj_off_epa_pp: +2.09,away_adj_def_ypp: -2.02,away_adj_off_epa_pp: +1.92,1,,
2021,5,401282090,2021-10-02 12:00:00-04:00,Georgia,Arkansas,False,consensus,-16.5,48.5,11.67722888352012,58.4501747367592,4.822771116479879,9.950174736759196,none,over,4.0,4.0,home_adj_def_epa_pp: +7.53,home_adj_off_epa_pp: +3.51,home_adj_def_sr: +2.84,home_adj_off_epa_pp: +4.86,home_adj_def_ypp: -3.19,away_adj_off_epa_pp: +2.68,1,,0.0
2021,5,401309561,2021-10-02 12:00:00-04:00,Buffalo,Western Michigan,False,consensus,7.0,59.5,5.081107147817169,66.86869115596573,12.08110714781717,7.368691155965735,none,none,3.0,3.0,away_adj_def_epa_pp: +7.07,home_adj_def_epa_pp: -6.27,home_off_eckel_rate: -3.48,away_adj_def_epa_pp: +2.24,home_adj_def_epa_pp: +1.56,home_adj_def_ypp: +1.19,1,,
2021,5,401287915,2021-10-02 12:00:00-04:00,TCU,Texas,False,consensus,4.0,65.5,-2.8862336493013494,71.36518374148221,1.1137663506986506,5.8651837414822126,none,none,2.0,4.0,away_off_eckel_rate: -4.28,away_adj_off_epa_pp: -2.95,home_adj_def_epa_pp: -2.48,away_adj_off_epa_pp: +3.02,home_adj_off_epa_pp: +3.02,away_adj_def_ypp: +2.78,1,,
2021,5,401286302,2021-10-02 12:00:00-04:00,Massachusetts,Toledo,False,consensus,27.0,56.5,2.497580125081914,60.322725016158735,29.49758012508192,3.822725016158735,none,none,4.0,3.0,home_adj_def_epa_pp: -6.34,same_conference: +3.50,away_off_eckel_rate: +2.88,home_adj_def_ypp: +3.48,away_adj_off_epa_pp: -2.08,home_adj_off_epa_pp: -1.64,1,,
2021,5,401282219,2021-10-02 12:00:00-04:00,Illinois,Charlotte,False,consensus,-10.5,54.0,15.45561860030179,62.063578151747336,4.95561860030179,8.063578151747336,none,none,5.0,3.0,away_adj_def_epa_pp: +7.88,same_conference: +3.50,away_adj_def_sr: +2.83,away_adj_def_epa_pp: +2.50,home_adj_def_ypp: +1.54,away_adj_def_sr: +1.27,1,,
2021,5,401282649,2021-10-02 12:00:00-04:00,Georgia Tech,Pittsburgh,False,consensus,3.0,57.5,2.935452671055952,55.74049575587961,5.935452671055952,1.759504244120393,none,none,3.0,3.0,away_adj_def_epa_pp: -5.26,away_adj_def_sr: -4.94,home_off_eckel_rate: +3.95,home_adj_def_ypp: +3.07,away_adj_def_sr: -2.23,away_adj_def_epa_pp: -1.67,1,,
2021,5,401301015,2021-10-02 12:00:00-04:00,Temple,Memphis,False,consensus,11.0,59.0,-1.1210463721233168,59.910614257838176,9.878953627876683,0.9106142578381764,none,none,3.0,3.0,away_off_eckel_rate: +4.99,home_off_eckel_rate: -4.03,away_adj_off_epa_pp: -2.86,away_adj_off_epa_pp: +2.92,home_adj_off_epa_pp: -2.80,away_off_eckel_rate: -2.67,1,,
2021,5,401282793,2021-10-02 12:00:00-04:00,Purdue,Minnesota,False,consensus,-2.5,46.0,8.58190563124274,55.782029261331104,6.081905631242741,9.782029261331104,home,over,4.0,4.0,home_adj_def_sr: +3.55,home_adj_def_epa_pp: +2.61,home_havoc_rate: +1.98,home_adj_def_ypp: -1.62,home_adj_def_sr: -1.15,home_adj_off_expl_rate_overall_10: -0.96,1,0.0,0.0
2021,5,401282776,2021-10-02 12:00:00-04:00,Wisconsin,Michigan,False,consensus,-2.5,43.5,-4.394802640242917,53.12290426014396,6.894802640242917,9.622904260143956,none,none,3.0,4.0,away_adj_def_epa_pp: -4.22,away_adj_off_epa_pp: -3.87,home_off_eckel_rate: +3.61,away_adj_off_epa_pp: +3.96,home_adj_def_ypp: -3.44,home_adj_off_epa_pp: -2.91,1,,
2021,5,401282650,2021-10-02 12:00:00-04:00,North Carolina,Duke,False,consensus,-19.5,74.5,19.397311931478004,65.96173639934801,0.1026880685219957,8.538263600651987,none,none,4.0,3.0,home_adj_off_epa_pp: +4.28,away_adj_def_epa_pp: +3.69,away_havoc_rate: -2.56,home_adj_off_epa_pp: +5.92,home_adj_def_ypp: -2.59,away_adj_def_epa_pp: +1.17,1,,
2021,5,401282651,2021-10-02 12:30:00-04:00,Wake Forest,Louisville,False,consensus,-7.0,64.5,19.083589786788444,64.74104079648255,12.083589786788444,0.2410407964825509,none,none,3.0,3.0,home_off_eckel_rate: +7.53,home_adj_def_epa_pp: +3.77,away_adj_def_epa_pp: +2.24,home_adj_def_ypp: +2.75,away_adj_off_epa_pp: +2.14,away_adj_def_ypp: +1.60,1,,
2021,5,401309867,2021-10-02 14:00:00-04:00,Colorado,USC,False,consensus,9.0,51.0,-9.124531928299906,53.12964568444309,0.1245319282999055,2.1296456844430907,none,none,3.0,4.0,home_off_eckel_rate: -6.60,home_adj_off_epa_pp: -4.25,home_havoc_rate: -1.43,home_adj_off_epa_pp: -5.88,home_off_finish_pts_per_opp: +2.17,home_stuff_rate: -1.23,1,,
2021,5,401309612,2021-10-02 14:00:00-04:00,Georgia State,App State,False,consensus,10.0,54.5,-14.740251902021123,50.16942048413234,4.740251902021125,4.330579515867662,none,none,4.0,3.0,home_off_eckel_rate: -5.11,home_adj_off_epa_pp: -3.04,away_adj_def_epa_pp: -2.93,home_adj_off_epa_pp: -4.21,home_off_finish_pts_per_opp: -1.15,away_adj_off_epa_pp: +1.11,1,,
2021,5,401309558,2021-10-02 14:30:00-04:00,Northern Illinois,Eastern Michigan,False,consensus,-1.5,62.0,23.12938235698814,60.88130290689011,21.62938235698814,1.118697093109887,none,none,3.0,3.0,away_adj_def_sr: +4.11,away_off_eckel_rate: +2.90,home_havoc_rate: +2.57,home_adj_def_ypp: +2.43,away_adj_off_epa_pp: -2.40,away_adj_def_sr: +1.85,1,,
2021,5,401309614,2021-10-02 14:30:00-04:00,Coastal Carolina,UL Monroe,False,consensus,-33.5,57.5,28.880651696641785,52.15743427558556,4.619348303358216,5.342565724414442,none,none,3.0,2.0,home_off_eckel_rate: +6.83,away_off_eckel_rate: +6.61,away_adj_off_epa_pp: +3.63,away_adj_off_epa_pp: -3.71,away_off_eckel_rate: -3.54,home_adj_def_ypp: +1.57,1,,
