season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units
2021,8,401309623,2021-10-20 19:30:00-04:00,App State,Coastal Carolina,False,consensus,4.5,60.5,-4.481175612437649,61.545312494012244,0.01882438756235061,1.0453124940122436,none,none,5.0,5.0,away_off_eckel_rate: -4.03,away_havoc_rate: -3.41,home_off_eckel_rate: +1.70,away_off_eckel_rate: +2.16,away_adj_off_epa_pp: +1.36,home_adj_def_ypp: +1.03,1
2021,8,401301025,2021-10-21 19:30:00-04:00,SMU,Tulane,False,consensus,-14.0,70.5,13.548585980696291,63.61380303560227,0.4514140193037086,6.886196964397733,none,under,5.0,5.0,away_havoc_rate: +3.59,home_adj_def_epa_pp: -3.06,home_off_eckel_rate: +2.61,home_adj_off_epa_pp: +1.60,away_adj_off_epa_pp: -1.29,home_adj_def_epa_pp: +0.76,1
2021,8,401282235,2021-10-21 19:30:00-04:00,Charlotte,Florida Atlantic,False,consensus,6.5,58.0,6.686661595809942,63.837794456099004,13.186661595809941,5.8377944560990045,home,over,5.0,5.0,home_adj_def_epa_pp: -6.22,away_off_eckel_rate: +3.77,away_adj_def_epa_pp: +2.61,home_adj_def_ypp: +2.15,away_off_eckel_rate: -2.02,home_adj_def_epa_pp: +1.55,1
2021,8,401309624,2021-10-21 19:30:00-04:00,Arkansas State,Louisiana,False,consensus,18.0,70.0,-4.715043713440773,72.56993030816989,13.284956286559227,2.569930308169887,home,none,5.0,5.0,home_adj_def_epa_pp: -5.98,home_havoc_rate: -4.95,home_off_eckel_rate: +3.24,home_adj_def_ypp: +10.42,home_adj_def_expl_rate_overall_20: -1.65,home_adj_def_epa_pp: +1.49,1
2021,8,401310729,2021-10-21 23:00:00-04:00,UNLV,San José State,False,consensus,6.0,44.0,-1.5894659616817677,63.51612546175719,4.410534038318232,19.51612546175719,none,over,5.0,6.0,home_off_eckel_rate: -3.33,home_havoc_rate: -2.11,away_adj_def_epa_pp: +1.77,away_adj_off_epa_pp: +1.20,away_adj_def_ypp: +0.84,home_adj_off_expl_rate_overall_10: +0.75,1
2021,8,401282239,2021-10-22 18:00:00-04:00,UConn,Middle Tennessee,False,consensus,14.0,54.0,-2.224593255782956,58.4754695470641,11.775406744217044,4.475469547064101,home,none,6.0,5.0,home_off_eckel_rate: -4.10,same_conference: +3.78,home_havoc_rate: -3.47,home_adj_off_epa_pp: -4.18,away_off_eckel_rate: -1.31,away_adj_off_epa_pp: -1.14,1
2021,8,401301026,2021-10-22 19:00:00-04:00,UCF,Memphis,False,consensus,-1.0,63.0,7.432424527679462,60.79332116652839,6.432424527679462,2.2066788334716065,home,none,5.0,6.0,away_adj_def_epa_pp: +3.05,home_adj_def_epa_pp: +1.60,away_adj_off_epa_pp: -1.47,home_adj_def_ypp: -2.24,away_adj_off_epa_pp: +1.50,home_off_finish_pts_per_opp: -1.13,1
2021,8,401310725,2021-10-22 21:30:00-04:00,Utah State,Colorado State,False,consensus,3.0,58.5,-2.616639581711146,53.68756191063956,0.3833604182888539,4.812438089360441,none,none,5.0,5.0,away_adj_def_epa_pp: -3.67,away_adj_def_sr: -2.19,away_adj_off_epa_pp: +1.82,away_adj_off_epa_pp: -1.86,away_adj_def_epa_pp: -1.16,away_adj_def_sr: -0.99,1
2021,8,401309877,2021-10-22 22:30:00-04:00,Arizona,Washington,False,consensus,17.0,45.5,-4.597189851330723,53.20705861888585,12.402810148669277,7.707058618885853,home,over,5.0,5.0,home_adj_off_epa_pp: -2.85,home_adj_def_epa_pp: -1.91,away_adj_def_epa_pp: -1.58,home_adj_off_epa_pp: -3.95,home_off_finish_pts_per_opp: +1.27,away_adj_off_epa_pp: -1.07,1
2021,8,401282779,2021-10-23 12:00:00-04:00,Michigan,Northwestern,False,consensus,-23.5,51.0,20.22857868778436,57.95841424701242,3.27142131221564,6.958414247012421,none,over,6.0,5.0,home_adj_def_epa_pp: +3.43,home_havoc_rate: +3.04,away_adj_def_epa_pp: +2.34,home_adj_off_epa_pp: +2.25,home_adj_def_ypp: -1.26,home_adj_def_epa_pp: -0.86,1
