season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,bet_units,pick_win,total_pick_win
2024,6,401636891,2024-10-04 19:30:00-04:00,TCU,Houston,False,DraftKings,-16.5,52.0,8.978354210192794,62.57879595263758,7.521645789807206,10.578795952637575,away,over,4.0,5.0,home_adj_def_ypp: -7.08,home_adj_off_ypp: +5.96,home_adj_off_expl_rate_overall_20: -5.56,home_adj_off_expl_rate_pass: +2.30,home_adj_off_epa_pp: +1.13,home_adj_off_expl_rate_overall_20: +1.09,1,1.0,0.0
2024,6,401628510,2024-10-05 12:00:00-04:00,Penn State,UCLA,False,DraftKings,-30.0,48.0,18.312937353519512,57.729228948826496,11.687062646480488,9.729228948826496,away,over,4.0,4.0,away_adj_def_sr: +2.55,home_adj_def_ypp: +2.39,home_adj_def_epa_pp: +2.14,away_adj_def_sr: +1.84,away_adj_off_expl_rate_overall_10: +0.90,home_adj_def_epa_pp: -0.86,1,1.0,0.0
2024,6,401645340,2024-10-05 15:30:00-04:00,Charlotte,East Carolina,False,DraftKings,9.5,47.5,-1.7734253911728266,61.41030429677824,7.726574608827173,13.910304296778245,home,over,4.0,4.0,home_adj_off_expl_rate_overall_20: -5.23,home_adj_def_ypp: -5.06,home_adj_def_expl_rate_overall_20: +4.11,away_adj_off_expl_rate_overall_10: -1.56,home_adj_off_expl_rate_pass: +1.24,home_adj_off_ypp: +1.16,1,1.0,1.0
2024,6,401635569,2024-10-05 19:00:00-04:00,Florida State,Clemson,False,DraftKings,16.5,47.0,-8.276606570644258,60.20336647640671,8.223393429355742,13.203366476406709,home,over,5.0,4.0,away_adj_off_ypp: -2.75,home_adj_def_epa_pp: -2.35,home_adj_off_ypp: -2.26,away_adj_def_expl_rate_rush: +1.22,away_adj_off_expl_rate_overall_10: +1.03,away_adj_def_sr: +0.98,1,1.0,0.0
2024,6,401628507,2024-10-05 19:30:00-04:00,Minnesota,USC,False,DraftKings,8.5,45.5,6.519415578566088,55.722044047103466,15.019415578566088,10.222044047103466,home,over,4.0,4.0,home_adj_def_epa_pp: +4.01,home_adj_off_expl_rate_overall_20: +3.45,home_adj_def_ypp: +3.02,away_adj_def_expl_rate_rush: +1.89,home_adj_def_expl_rate_overall_10: -1.03,home_adj_off_expl_rate_pass: -0.82,1,1.0,0.0
2024,6,401636888,2024-10-05 20:00:00-04:00,Arizona State,Kansas,False,DraftKings,-2.5,50.0,11.80578723992916,51.31082191148862,9.30578723992916,1.3108219114886168,home,none,4.0,4.0,home_off_eckel_rate: +4.69,home_adj_def_epa_pp: +3.41,home_adj_off_expl_rate_overall_20: +2.90,home_adj_off_expl_rate_pass: -1.33,home_adj_def_expl_rate_rush: -0.75,away_adj_def_sr: -0.72,1,1.0,
2024,7,401643733,2024-10-11 21:00:00-04:00,Utah State,UNLV,False,DraftKings,19.0,67.5,-9.29984819445821,59.05442307528951,9.70015180554179,8.445576924710494,home,under,4.0,4.0,home_adj_def_sr: -2.71,away_off_eckel_rate: -2.29,home_adj_off_expl_rate_overall_20: -1.79,home_adj_def_epa_pp: +1.00,away_adj_def_sr: -0.84,home_adj_off_expl_rate_pass: +0.73,1,1.0,0.0
2024,7,401636892,2024-10-11 22:30:00-04:00,Arizona State,Utah,False,DraftKings,6.0,46.5,9.852757173303322,51.30282699136069,15.852757173303322,4.802826991360689,home,none,5.0,4.0,home_off_eckel_rate: +5.31,home_adj_def_epa_pp: +2.35,home_adj_def_ypp: -2.02,away_adj_def_expl_rate_rush: -1.12,away_adj_def_sr: -1.04,home_adj_def_expl_rate_rush: -0.76,1,1.0,
2024,7,401635576,2024-10-12 12:00:00-04:00,Wake Forest,Clemson,False,DraftKings,21.0,63.0,-2.648437671123457,62.00227821779072,18.351562328876543,0.9977217822092824,home,none,4.0,5.0,home_adj_def_epa_pp: -3.87,home_adj_def_sr: -2.65,away_adj_def_expl_rate_rush: +2.32,away_adj_def_expl_rate_rush: +1.53,away_adj_def_sr: +1.25,away_adj_off_expl_rate_overall_10: +0.89,1,0.0,
2024,7,401645342,2024-10-12 12:00:00-04:00,Army,UAB,False,DraftKings,-27.0,55.5,8.714247514208795,53.94254452481108,18.285752485791207,1.5574554751889167,away,none,4.0,4.0,home_adj_def_expl_rate_overall_20: -3.90,home_adj_off_epa_pp: +3.84,home_adj_def_ypp: +3.18,home_adj_off_epa_pp: +1.46,away_adj_off_expl_rate_overall_10: -1.33,away_adj_def_sr: +0.85,1,0.0,
