season,week,game_id,game_date,home_team,away_team,neutral_site,sportsbook,home_team_spread_line,total_line,model_spread,model_total,edge_spread,edge_total,bet_spread,bet_total,home_games_played,away_games_played,spread_reason_1,spread_reason_2,spread_reason_3,total_reason_1,total_reason_2,total_reason_3,predicted_spread_std_dev,predicted_total_std_dev,bet_units,pick_win,total_pick_win
2024,13,401644769,2024-11-19 19:00:00-05:00,Kent State,Akron,False,DraftKings,10.5,49.0,-8.321969951590914,50.704996964456285,2.178030048409086,1.704996964456285,none,none,9.0,9.0,home_off_eckel_rate: -4.30,home_adj_off_epa_pp: -3.57,home_adj_def_ypp: -2.80,home_stuff_rate: -2.90,away_off_eckel_rate: -2.78,home_adj_def_expl_rate_rush: +1.93,2.986728686380833,1.9958987488074984,1,,
2024,13,401644770,2024-11-19 19:30:00-05:00,Central Michigan,Western Michigan,False,DraftKings,6.0,56.0,-5.408260072511162,62.36147710284982,0.5917399274888382,6.361477102849818,none,over,9.0,9.0,home_off_eckel_rate: -2.49,home_adj_def_ypp: -2.44,away_adj_def_epa_pp: +2.25,home_adj_def_expl_rate_rush: +3.42,away_adj_def_expl_rate_rush: +3.22,away_adj_def_expl_rate_overall_10: +2.72,1.3147615287444678,2.8209893908814543,1,,0.0
2024,13,401644690,2024-11-19 20:00:00-05:00,Miami (OH),Northern Illinois,False,DraftKings,-1.5,43.0,1.3099428764492544,50.37146284237816,0.1900571235507455,7.371462842378158,none,over,10.0,9.0,home_adj_off_epa_pp: -1.63,home_adj_def_sr: -1.25,home_off_eckel_rate: +1.23,away_adj_off_expl_rate_pass: -2.26,home_adj_off_expl_rate_overall_30: +1.79,home_adj_off_epa_pp: -1.34,2.967760577538085,1.68877276271634,1,,0.0
2024,13,401644773,2024-11-20 19:00:00-05:00,Toledo,Ohio,False,DraftKings,-1.5,47.0,-3.392216247914345,49.56489535974245,4.8922162479143445,2.564895359742444,none,none,9.0,9.0,home_adj_off_epa_pp: -3.81,home_adj_off_sr: -1.23,away_havoc_rate: -0.87,home_adj_off_epa_pp: -2.22,away_adj_off_ypp: -1.35,away_adj_def_expl_rate_rush: -1.28,1.2290937010647434,1.1081720467348717,1,,
2024,13,401644772,2024-11-20 19:00:00-05:00,Eastern Michigan,Buffalo,False,DraftKings,-1.0,53.5,4.6154833617832285,57.77267798655582,3.615483361783229,4.27267798655582,none,none,9.0,9.0,home_adj_off_epa_pp: -2.58,away_adj_def_epa_pp: +2.56,home_adj_def_sr: -2.06,away_adj_def_expl_rate_overall_10: +1.85,home_off_eckel_rate: +1.83,home_adj_def_expl_rate_overall_10: +1.42,0.5635666454185118,2.415607681649565,1,,
2024,13,401634772,2024-11-21 19:30:00-05:00,Georgia Tech,NC State,False,DraftKings,-7.5,51.5,5.74951405307673,56.78716730391645,1.75048594692327,5.287167303916448,none,none,9.0,9.0,home_adj_def_epa_pp: +1.61,away_adj_off_epa_pp: -1.26,home_off_eckel_rate: +0.89,away_adj_def_expl_rate_rush: +1.73,away_adj_off_ypp: +1.44,away_adj_def_ypp: -1.01,1.2795332651346178,0.6378144589588359,1,,
2024,13,401645374,2024-11-22 19:00:00-05:00,UTSA,Temple,False,DraftKings,-16.5,56.0,7.641224911091581,47.62006074933595,8.85877508890842,8.379939250664052,away,under,9.0,10.0,home_adj_off_epa_pp: -2.59,home_adj_def_sr: +2.29,away_adj_off_sr: +1.99,home_adj_off_expl_rate_overall_30: +3.11,away_adj_off_expl_rate_overall_10: -2.71,home_adj_off_epa_pp: -2.32,1.0837154701687437,0.0417037793705823,1,0.0,0.0
2024,13,401628558,2024-11-22 20:00:00-05:00,Michigan State,Purdue,False,DraftKings,-14.0,49.0,7.704723218870203,55.16613844057522,6.295276781129797,6.166138440575224,away,over,9.0,9.0,away_adj_def_epa_pp: +2.79,away_adj_def_sr: +1.41,home_adj_off_epa_pp: -1.38,away_adj_def_expl_rate_rush: +4.34,away_adj_def_sr: +2.28,away_off_eckel_rate: -2.06,2.2625896594662653,1.077922238169716,1,1.0,0.0
2024,13,401643767,2024-11-22 22:00:00-05:00,San José State,UNLV,False,DraftKings,7.5,59.5,1.8317429783171717,56.73616164444417,9.331742978317171,2.763838355555833,home,none,9.0,9.0,away_off_eckel_rate: -1.75,home_havoc_rate: -1.02,home_adj_def_epa_pp: +0.91,away_off_eckel_rate: +3.32,home_adj_def_expl_rate_rush: -1.89,home_off_finish_pts_per_opp: -1.62,1.5507290182087936,2.347214827338604,1,0.0,
2024,13,401628555,2024-11-23 12:00:00-05:00,Ohio State,Indiana,False,DraftKings,-10.5,52.5,5.506643529250865,59.03603069139134,4.993356470749135,6.536030691391339,none,over,10.0,9.0,home_adj_off_epa_pp: +3.80,home_adj_def_epa_pp: +2.40,home_adj_def_sr: +2.13,away_off_eckel_rate: +2.14,home_adj_def_epa_pp: -1.69,away_adj_off_sr: +1.14,1.8381889456588827,1.6376126642960642,1,,1.0
