model,target,rmse,mae,cv_rmse_mean,cv_rmse_std,feature_count
ridge_baseline,spread,17.21650840540616,13.653473692008653,17.82030165321627,0.6469982912398263,134
ridge_tuned,spread,17.07290863571357,13.540390941926514,17.923324340447575,0.6870237365699923,134
ridge_strong_reg,spread,17.413310606453084,13.791951490466488,17.803316481701263,0.6460477806571437,134
elastic_net,spread,18.14681983773386,14.29671766395289,18.35363393894716,0.6788951968081037,134
huber_robust,spread,17.168742562126834,13.461281565134056,18.02000900451531,0.7426731209039003,134
random_forest,spread,11.962885122450228,9.464140737351213,17.889945101261098,0.8139271140951911,134
gradient_boosting,spread,1.494189436670501,1.1717819031228367,18.335274083779087,0.7728008197330006,134
neural_network,spread,0.8454254931619373,0.6483652803709239,24.068921355903395,0.9789223786551711,134
ridge_scaled,spread,16.986771259345332,13.473838615600032,18.146953100070494,0.7497446986411338,134
ridge_robust_scaled,spread,16.987176405890185,13.474115796278578,18.137762605117985,0.7489435280654037,134
xgboost,spread,1.5680092269713788,1.1594574982438348,18.20528613183675,0.7502296466516923,134
ridge_strong_reg_extended,spread,17.413310606453084,13.791951490466488,17.803316481701263,0.6460477806571437,134
ridge_strong_reg_reduced,spread,18.00493763894373,14.199255785194271,18.09297650708396,0.7496547518609102,12
random_forest_extended,spread,11.962885122450228,9.464140737351213,17.889945101261098,0.8139271140951911,134
random_forest_reduced,spread,13.664659896372317,10.782769532836161,18.083137003246165,0.7255096901444403,12
ridge_baseline,total,16.317645431625536,13.031304645132234,16.74594269777183,0.3394977076046165,134
ridge_tuned,total,16.190546683264742,12.917578243560326,16.84899063647574,0.2848040222949465,134
ridge_strong_reg,total,16.513066289849395,13.190159698036666,16.779821710169234,0.40027916228776667,134
elastic_net,total,16.8600942757793,13.470351934557623,16.999783701282382,0.3959326497516191,134
huber_robust,total,16.275575029186665,12.865757487807693,17.026909431711115,0.2100169996357035,134
random_forest,total,12.014262694101053,9.588916529985717,16.6357967574585,0.3020744981795362,134
gradient_boosting,total,1.4558589351241298,1.1501461304259277,17.41385605045519,0.25902361564096976,134
neural_network,total,4.664329367907614,3.4656854558572157,23.248327197505013,1.0113305720823387,134
ridge_scaled,total,16.10257547929825,12.825945210101375,17.038602211362086,0.24470633535165875,134
ridge_robust_scaled,total,16.102998452584686,12.826803274823625,17.030107514906742,0.24931128438946862,134
xgboost,total,1.5358372930783115,1.1363063182751127,17.274899526090046,0.2590238977941217,134
ridge_strong_reg_extended,total,16.513066289849395,13.190159698036666,16.779821710169234,0.40027916228776667,134
ridge_strong_reg_reduced,total,16.889091489836463,13.426709986233305,16.957090335726253,0.4918735556734282,12
random_forest_extended,total,12.014262694101053,9.588916529985717,16.6357967574585,0.3020744981795362,134
random_forest_reduced,total,13.598457677879733,10.79455792763431,17.024281499205436,0.4277297073547623,12
